fold,train_samples,test_samples,train_pos_rate,test_pos_rate,auc,accuracy,p10,ic,test_start,test_end
0,14364,2394,0.5263157894736842,0.5263157894736842,0.4620916267741665,0.48370927318295737,0.4476987447698745,-0.04009579585751214,2013-07-08,2014-01-03
1,15561,2394,0.5263157894736842,0.5263157894736842,0.4735379748607262,0.4853801169590643,0.4351464435146444,-0.05343798704016418,2013-10-04,2014-04-04
2,16758,2394,0.5263157894736842,0.5263157894736842,0.4522136838274404,0.4665831244778613,0.41422594142259417,-0.10777180467773007,2014-01-06,2014-07-07
3,17955,2394,0.5263157894736842,0.5263157894736842,0.46815668654292997,0.48955722639933164,0.3472803347280335,-0.05582195541462034,2014-04-07,2014-10-03
4,19152,2394,0.5263157894736842,0.5263157894736842,0.5046758209456623,0.504594820384294,0.3472803347280335,0.03797466678577275,2014-07-08,2015-01-05
5,20349,2394,0.5263157894736842,0.5263157894736842,0.544077013521458,0.5309106098579783,0.5564853556485355,0.0978379429752522,2014-10-06,2015-04-07
6,21546,2394,0.5263157894736842,0.5263157894736842,0.46491559586797687,0.506265664160401,0.301255230125523,-0.06390680147004817,2015-01-06,2015-07-07
7,22743,2394,0.5263157894736842,0.5263157894736842,0.42355127236079615,0.47368421052631576,0.28451882845188287,-0.1788378352513241,2015-04-08,2015-10-05
8,23940,2394,0.5263157894736842,0.5263157894736842,0.5255766915819826,0.5334168755221387,0.502092050209205,-0.012701862853295495,2015-07-08,2016-01-05
9,25137,2394,0.5263157894736842,0.5263157894736842,0.5185815066767447,0.5229741019214703,0.5481171548117155,-0.03514954250184322,2015-10-06,2016-04-06
10,26334,2394,0.5263157894736842,0.5263157894736842,0.5006144844769184,0.5041771094402674,0.5271966527196653,-0.007962572369400362,2016-01-06,2016-07-06
11,27531,2394,0.5263157894736842,0.5263157894736842,0.5571848492483413,0.545530492898914,0.606694560669456,0.09855528279952556,2016-04-07,2016-10-04
12,28728,2394,0.5263157894736842,0.5263157894736842,0.5410766775846141,0.5446950710108605,0.5983263598326359,0.11981941295073945,2016-07-07,2017-01-04
13,29925,2394,0.5263157894736842,0.5263157894736842,0.4603531536071218,0.46365914786967416,0.45188284518828453,-0.07942601166138588,2016-10-05,2017-04-05
