fold,train_start,train_end,test_start,test_end,train_n,test_n,thr_train_p90,base_rate,selected_rate,selected_n,auc,p_at_10,lift_p10,ic
0,1998-10-16,2001-10-19,2001-10-22,2002-04-23,17389,3150,0.4339485373561818,0.3825396825396825,0.07015873015873016,221,0.5022590107627815,0.3665158371040724,0.9581119393176997,-0.06359193635557742
1,1998-10-16,2002-01-22,2002-01-23,2002-07-23,18964,3150,0.4268705095952568,0.4580952380952381,0.07301587301587302,230,0.4467893606733677,0.21739130434782608,0.4745548223809093,-0.25398298417985193
2,1998-10-16,2002-04-23,2002-04-24,2002-10-21,20539,3211,0.4264104006283153,0.43288695110557457,0.11086888819682342,356,0.4785484297899407,0.3707865168539326,0.8565435292215666,0.027324325231955562
3,1998-10-16,2002-07-23,2002-07-24,2003-01-22,22114,3272,0.4271384699081735,0.31968215158924207,0.0715158924205379,234,0.5023099593024554,0.2863247863247863,0.8956545897272473,0.0025798198234841477
4,1998-10-16,2002-10-21,2002-10-22,2003-04-23,23750,3304,0.42723656991915476,0.2726997578692494,0.06053268765133172,200,0.5542119705159524,0.465,1.7051720310765817,0.007863077328456614
5,1998-10-16,2003-01-22,2003-01-23,2003-07-23,25386,3394,0.4135544251251461,0.3190925162050678,0.08014142604596347,272,0.47490204022433957,0.3602941176470588,1.1291211775568952,0.048577219346251845
6,1998-10-16,2003-04-23,2003-04-24,2003-10-21,27054,3490,0.4090021709653033,0.2982808022922636,0.08882521489971347,310,0.4805907957491325,0.4129032258064516,1.3842769049611106,-0.07984962527872642
7,1998-10-16,2003-07-23,2003-07-24,2004-01-22,28780,3528,0.4029969783674976,0.31405895691609975,0.09041950113378684,319,0.5516575543753917,0.48589341692789967,1.5471407715899188,0.07225954768110983
8,1998-10-16,2003-10-21,2003-10-22,2004-04-22,30544,3528,0.3964898954270586,0.37556689342403626,0.08843537414965986,312,0.49178838462131397,0.358974358974359,0.9558200290275762,-0.052746966674249336
9,1998-10-16,2004-01-22,2004-01-23,2004-07-23,32308,3528,0.4698817992489665,0.4365079365079365,0.10090702947845805,356,0.5239186743839661,0.5533707865168539,1.2677221654749744,0.056392985513574814
10,1998-10-16,2004-04-22,2004-04-23,2004-10-21,34072,3528,0.44483541150141914,0.41383219954648526,0.10799319727891156,381,0.5639001682520336,0.6010498687664042,1.4523999568547084,0.07890740778529733
